"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91510175183878346e+02, 5.91510175183878346e+02, 0.00000000000000000e+00, 3.49884287346065044e+05, 3.70759311285145160e-15
   1, 1.30561633329114457e+01, 1.30561633329114741e+01, 2.17688065825277460e-15, 1.70463400975659795e+02,-4.44523973039758016e-15
   2, 1.00003797181469309e+01, 1.00003797181469167e+01,-1.42103151237493942e-15, 1.00007594507034682e+02,-4.49006060785499628e-13
   3, 7.89318917736339642e+00, 7.89318917736339198e+00,-5.62623294426605996e-16, 6.23024353896271137e+01,-1.56792343195200207e-13
   4, 6.98957515332528079e+00, 6.98957515332528523e+00, 6.35359374652102831e-16, 4.88541608239455556e+01,-3.74244851386570312e-13
   5, 6.31514338121747887e+00, 6.31514338121747887e+00, 0.00000000000000000e+00, 3.98810359252882307e+01,-5.85502852889204450e-13
   6, 5.85125029702151611e+00, 5.85125029702151878e+00, 4.55378786386341066e-16, 3.42371300383858213e+01,-1.24999698039666301e-13
   7, 5.57037768353900198e+00, 5.57037768353900198e+00, 0.00000000000000000e+00, 3.10291075372686898e+01,-1.04404898909675963e-14
   8, 5.11315760522534024e+00, 5.11315760522533669e+00,-6.94817948730905682e-16, 2.61443806958457898e+01,-5.34465297667468711e-13
   9, 4.81803927781439079e+00, 4.81803927781438901e+00,-3.68688741824881921e-16, 2.32135024825671792e+01, 1.06896152011452544e-13
  10, 4.67131088702653763e+00, 4.67131088702653674e+00,-1.90134726885087215e-16, 2.18211454032562919e+01, 8.32709333633444687e-14
  11, 4.45648414017051664e+00, 4.45648414017051753e+00, 1.99300253689703745e-16, 1.98602508915913312e+01,-4.48814829109821130e-16
  12, 4.34467410562317191e+00, 4.34467410562317369e+00, 4.08858477348431948e-16, 1.88761930840694525e+01,-8.09550765235956860e-14
  13, 4.08680074843999019e+00, 4.08680074843999197e+00, 4.34657070100204850e-16, 1.67019403574394723e+01,-3.05107084663554024e-13
  14, 4.02018675667982883e+00, 4.02018675667983150e+00, 6.62788925084900378e-16, 1.61619015585810430e+01,-8.78060480985481913e-14
  15, 3.85645829263565254e+00, 3.85645829263565165e+00,-2.30309354413660674e-16, 1.48722705628348688e+01,-1.15095862855092864e-13
  16, 3.75577534693936821e+00, 3.75577534693936688e+00,-3.54725058471846736e-16, 1.41058484566802225e+01, 9.53800487381202923e-14
  17, 3.64302189191616144e+00, 3.64302189191616188e+00, 1.21901328903757971e-16, 1.32716085049805166e+01, 4.08256359774407005e-15
  18, 3.52529019629479068e+00, 3.52529019629478979e+00,-2.51944767733911192e-16, 1.24276709680943629e+01, 8.84757319516979144e-14
  19, 3.47692872596456848e+00, 3.47692872596456537e+00,-8.94071956590955049e-16, 1.20890333654406881e+01, 1.27832644656741634e-13
  20, 3.44609619661708511e+00, 3.44609619661708244e+00,-7.73203969673295517e-16, 1.18755789963424050e+01, 1.54321079630467208e-13
  21, 3.37896456725446548e+00, 3.37896456725446370e+00,-5.25710407446979101e-16, 1.14174015467615320e+01, 1.64135619496946961e-14
  22, 3.33488836601701433e+00, 3.33488836601701388e+00,-1.33164640344604839e-16, 1.11214804137998353e+01, 1.88985527997261837e-13
  23, 3.19116196640684180e+00, 3.19116196640684047e+00,-4.17486684654330959e-16, 1.01835146958390173e+01,-1.25892484614691427e-13
  24, 3.15578486794172264e+00, 3.15578486794172264e+00, 0.00000000000000000e+00, 9.95897813272995514e+00,-3.28443579099918247e-17
  25, 3.06991545581150271e+00, 3.06991545581150360e+00, 2.89316898945460954e-16, 9.42438090582743548e+00,-1.54439140634102054e-13
  26, 2.99753385062903588e+00, 2.99753385062903499e+00,-2.96303049092753359e-16, 8.98520918566429927e+00,-1.46680426204982580e-13
  27, 2.97452453101834413e+00, 2.97452453101834546e+00, 4.47892634825263657e-16, 8.84779618562883563e+00,-6.01543719505261170e-14
  28, 2.92950248676155445e+00, 2.92950248676155534e+00, 3.03184047022936738e-16, 8.58198481994145723e+00,-3.92832816200629568e-14
  29, 2.89862981761177085e+00, 2.89862981761177219e+00, 4.59619790514631920e-16, 8.40205481952608579e+00,-1.30695236401166016e-12
  30, 2.85817442790059362e+00, 2.85817442790059362e+00, 0.00000000000000000e+00, 8.16916106029501776e+00,-6.03970120588425068e-13
  31, 2.80267610935202782e+00, 2.80267610935202693e+00,-3.16903696697750070e-16, 7.85499337393259989e+00,-1.26854321558991947e-15
  32, 2.76300633246326832e+00, 2.76300633246326788e+00,-1.60726815799278079e-16, 7.63420399323078236e+00,-8.76632933968976577e-14
  33, 2.72976558806708791e+00, 2.72976558806708924e+00, 4.88052027388018146e-16, 7.45162016579027320e+00,-3.34228656832083139e-13
  34, 2.68137489405264695e+00, 2.68137489405264740e+00, 1.65619962667310344e-16, 7.18977132245568562e+00,-1.09906798174932358e-14
  35, 2.65621734592276004e+00, 2.65621734592276004e+00, 0.00000000000000000e+00, 7.05549058878090118e+00,-3.56475770618668573e-15
  36, 2.60771411918856710e+00, 2.60771411918856799e+00, 3.40596545136817556e-16, 6.80017292741515966e+00,-1.79917464058014993e-14
  37, 2.57695861082349742e+00, 2.57695861082349786e+00, 1.72330749894406992e-16, 6.64071568189736627e+00,-2.52942497159466512e-16
  38, 2.54989570564735279e+00, 2.54989570564735235e+00,-1.74159754403492284e-16, 6.50196810967877870e+00,-2.50329135272246209e-15
